52,L,LH,51,1,105.0041,0.041,4.3052,92.1,96.4,100.7,105,109.3,113.6,117.9,2025-05-31 00:00:00,2025-06-01 00:00:00
53,L,LH,52,1,105.5596,0.04113,4.3417,92.5,96.9,101.2,105.6,109.9,114.2,118.6,2025-05-31 00:00:00,2025-06-01 00:00:00
54,L,LH,53,1,106.1138,0.04126,4.3783,93,97.4,101.7,106.1,110.5,114.9,119.2,2025-05-31 00:00:00,2025-06-01 00:00:00
55,L,LH,54,1,106.6668,0.04139,4.4149,93.4,97.8,102.3,106.7,111.1,115.5,119.9,2025-05-31 00:00:00,2025-06-01 00:00:00
56,L,LH,55,1,107.2188,0.04152,4.4517,93.9,98.3,102.8,107.2,111.7,116.1,120.6,2025-05-31 00:00:00,2025-06-01 00:00:00
57,L,LH,56,1,107.7697,0.04165,4.4886,94.3,98.8,103.3,107.8,112.3,116.7,121.2,2025-05-31 00:00:00,2025-06-01 00:00:00
58,L,LH,57,1,108.3198,0.04177,4.5245,94.7,99.3,103.8,108.3,112.8,117.4,121.9,2025-05-31 00:00:00,2025-06-01 00:00:00
59,L,LH,58,1,108.8689,0.0419,4.5616,95.2,99.7,104.3,108.9,113.4,118,122.6,2025-05-31 00:00:00,2025-06-01 00:00:00
60,L,LH,59,1,109.417,0.04202,4.5977,95.6,100.2,104.8,109.4,114,118.6,123.2,2025-05-31 00:00:00,2025-06-01 00:00:00
61,L,LH,60,1,109.9638,0.04214,4.6339,96.1,100.7,105.3,110,114.6,119.2,123.9,2025-05-31 00:00:00,2025-06-01 00:00:00
62,P,LH,0,1,49.1477,0.0379,1.8627,43.6,45.4,47.3,49.1,51,52.9,54.7,2025-05-31 00:00:00,2025-06-01 00:00:00
63,P,LH,1,1,53.6872,0.0364,1.9542,47.8,49.8,51.7,53.7,55.6,57.6,59.5,2025-05-31 00:00:00,2025-06-01 00:00:00
64,P,LH,2,1,57.0673,0.03568,2.0362,51,53,55,57.1,59.1,61.1,63.2,2025-05-31 00:00:00,2025-06-01 00:00:00
65,P,LH,3,1,59.8029,0.0352,2.1051,53.5,55.6,57.7,59.8,61.9,64,66.1,2025-05-31 00:00:00,2025-06-01 00:00:00
66,P,LH,4,1,62.0899,0.03486,2.1645,55.6,57.8,59.9,62.1,64.3,66.4,68.6,2025-05-31 00:00:00,2025-06-01 00:00:00
67,P,LH,5,1,64.0301,0.03463,2.2174,57.4,59.6,61.8,64,66.2,68.5,70.7,2025-05-31 00:00:00,2025-06-01 00:00:00
68,P,LH,6,1,65.7311,0.03448,2.2664,58.9,61.2,63.5,65.7,68,70.3,72.5,2025-05-31 00:00:00,2025-06-01 00:00:00
69,P,LH,7,1,67.2873,0.03441,2.3154,60.3,62.7,65,67.3,69.6,71.9,74.2,2025-05-31 00:00:00,2025-06-01 00:00:00
70,P,LH,8,1,68.7498,0.0344,2.365,61.7,64,66.4,68.7,71.1,73.5,75.8,2025-05-31 00:00:00,2025-06-01 00:00:00
71,P,LH,9,1,70.1435,0.03444,2.4157,62.9,65.3,67.7,70.1,72.6,75,77.4,2025-05-31 00:00:00,2025-06-01 00:00:00
72,P,LH,10,1,71.4818,0.03452,2.4676,64.1,66.5,69,71.5,73.9,76.4,78.9,2025-05-31 00:00:00,2025-06-01 00:00:00
73,P,LH,11,1,72.771,0.03464,2.5208,65.2,67.7,70.3,72.8,75.3,77.8,80.3,2025-05-31 00:00:00,2025-06-01 00:00:00
74,P,LH,12,1,74.015,0.03479,2.575,66.3,68.9,71.4,74,76.6,79.2,81.7,2025-05-31 00:00:00,2025-06-01 00:00:00
75,P,LH,13,1,75.2176,0.03496,2.6296,67.3,70,72.6,75.2,77.8,80.5,83.1,2025-05-31 00:00:00,2025-06-01 00:00:00
76,P,LH,14,1,76.3817,0.03514,2.6841,68.3,71,73.7,76.4,79.1,81.7,84.4,2025-05-31 00:00:00,2025-06-01 00:00:00
77,P,LH,15,1,77.5099,0.03534,2.7392,69.3,72,74.8,77.5,80.2,83,85.7,2025-05-31 00:00:00,2025-06-01 00:00:00
78,P,LH,16,1,78.6055,0.03555,2.7944,70.2,73,75.8,78.6,81.4,84.2,87,2025-05-31 00:00:00,2025-06-01 00:00:00
79,P,LH,17,1,79.671,0.03576,2.849,71.1,74,76.8,79.7,82.5,85.4,88.2,2025-05-31 00:00:00,2025-06-01 00:00:00
80,P,LH,18,1,80.7079,0.03598,2.9039,72,74.9,77.8,80.7,83.6,86.5,89.4,2025-05-31 00:00:00,2025-06-01 00:00:00
81,P,LH,19,1,81.7182,0.0362,2.9582,72.8,75.8,78.8,81.7,84.7,87.6,90.6,2025-05-31 00:00:00,2025-06-01 00:00:00
82,P,LH,20,1,82.7036,0.03643,3.0129,73.7,76.7,79.7,82.7,85.7,88.7,91.7,2025-05-31 00:00:00,2025-06-01 00:00:00
83,P,LH,21,1,83.6654,0.03666,3.0672,74.5,77.5,80.6,83.7,86.7,89.8,92.9,2025-05-31 00:00:00,2025-06-01 00:00:00
84,P,LH,22,1,84.604,0.03688,3.1202,75.2,78.4,81.5,84.6,87.7,90.8,94,2025-05-31 00:00:00,2025-06-01 00:00:00
85,P,LH,23,1,85.5202,0.03711,3.1737,76,79.2,82.3,85.5,88.7,91.9,95,2025-05-31 00:00:00,2025-06-01 00:00:00
86,P,LH,24,1,86.4153,0.03734,3.2267,76.7,80,83.2,86.4,89.6,92.9,96.1,2025-05-31 00:00:00,2025-06-01 00:00:00
87,P,LH,25,1,86.5904,0.03786,3.2783,76.8,80,83.3,86.6,89.9,93.1,96.4,2025-05-31 00:00:00,2025-06-01 00:00:00
88,P,LH,26,1,87.4462,0.03808,3.33,77.5,80.8,84.1,87.4,90.8,94.1,97.4,2025-05-31 00:00:00,2025-06-01 00:00:00
89,P,LH,27,1,88.283,0.0383,3.3812,78.1,81.5,84.9,88.3,91.7,95,98.4,2025-05-31 00:00:00,2025-06-01 00:00:00
90,P,LH,28,1,89.1004,0.03851,3.4313,78.8,82.2,85.7,89.1,92.5,96,99.4,2025-05-31 00:00:00,2025-06-01 00:00:00
91,P,LH,29,1,89.8991,0.03872,3.4809,79.5,82.9,86.4,89.9,93.4,96.9,100.3,2025-05-31 00:00:00,2025-06-01 00:00:00
92,P,LH,30,1,90.6797,0.03893,3.5302,80.1,83.6,87.1,90.7,94.2,97.7,101.3,2025-05-31 00:00:00,2025-06-01 00:00:00
